region,n_pix,F090W,F115W,F150W,F182M,F200W,F210M,F277W,F335M,F356W,F410M,F090W_err,F115W_err,F150W_err,F182M_err,F200W_err,F210M_err,F277W_err,F335M_err,F356W_err,F410M_err,F090W_n_eff,F115W_n_eff,F150W_n_eff,F182M_n_eff,F200W_n_eff,F210M_n_eff,F277W_n_eff,F335M_n_eff,F356W_n_eff,F410M_n_eff
11,53,5.184651106747323e-7,6.859171873460878e-7,9.298385870596811e-7,1.0776655996072368e-6,1.1352069556942253e-6,1.1480062663805824e-6,1.0949775302599672e-6,7.724263596562314e-7,7.044916343737455e-7,8.096356797270915e-7,7.200452143266647e-8,8.282011756488201e-8,9.642813837566715e-8,1.0381067380608012e-7,1.0654609123258465e-7,1.0714505431332714e-7,1.0464117403106518e-7,8.788778980360305e-8,8.393399992695127e-8,8.997975770844749e-8,53,53,53,53,53,53,53,53,53,53
12,136,1.7351120841514784e-6,2.269678059824709e-6,2.9583857202716377e-6,3.3224617863031125e-6,3.516289570354991e-6,3.5441304707810663e-6,3.171808576614313e-6,2.141404427311511e-6,1.941365894094739e-6,2.115974695707708e-6,1.3172365331068973e-7,1.5065450739439258e-7,1.7199958489111644e-7,1.8227621310261832e-7,1.8751772103870585e-7,1.8825861124477324e-7,1.7809572079683198e-7,1.4633538284746827e-7,1.393329068847248e-7,1.4546390259125142e-7,136,136,136,136,136,136,136,136,136,136
13,116,1.1393229633543992e-6,1.456410539149577e-6,1.8857289648017263e-6,2.1374731409476734e-6,2.2355235230894013e-6,2.2541088759854596e-6,2.0260372281003163e-6,1.3731321155990424e-6,1.2416029077776154e-6,1.3750102972946463e-6,1.0673907266574876e-7,1.2068183538335738e-7,1.373218469436574e-7,1.462009966090407e-7,1.4951667208339683e-7,1.5013690006075987e-7,1.4233893452250923e-7,1.1718072006943132e-7,1.1142723669631297e-7,1.1726083307288271e-7,116,116,116,116,116,116,116,116,116,116
14,77,1.2618412578043804e-6,1.6715706086108083e-6,2.153707306383338e-6,2.3890700292494276e-6,2.5213383603049324e-6,2.554032394894422e-6,2.196468083853301e-6,1.4389128768439826e-6,1.296368840929865e-6,1.3618233680733229e-6,1.1233170780346841e-7,1.2928923422353495e-7,1.467551466349081e-7,1.54566168007408e-7,1.5878722745564052e-7,1.5981340353344654e-7,1.482048610489312e-7,1.1995469464943765e-7,1.1385819430018487e-7,1.1669718797268951e-7,77,77,77,77,77,77,77,77,77,77
15,138,1.8426921355641812e-6,2.4306445550797405e-6,3.018940528640793e-6,3.30623032811279e-6,3.497922530208669e-6,3.5084340918465313e-6,3.0194081640559357e-6,1.974719852236826e-6,1.7581400430486657e-6,1.8191756385810115e-6,1.3574579682495446e-7,1.559052454242557e-7,1.7375098643290613e-7,1.8183042452001233e-7,1.870273383815497e-7,1.8730814429294128e-7,1.7376444296966903e-7,1.4052472566195694e-7,1.3259487331901883e-7,1.3487681930491286e-7,138,138,138,138,138,138,138,138,138,138
16,92,8.526350617341474e-7,1.0773182868798952e-6,1.2545699727410437e-6,1.340998417136882e-6,1.4041152560606597e-6,1.4008184993232713e-6,1.16180210947639e-6,7.454750311386845e-7,6.600450027017042e-7,6.766996014149309e-7,9.23382402763962e-8,1.0379394427806929e-7,1.1200758781176583e-7,1.158014860499157e-7,1.1849536936356035e-7,1.18356178517358e-7,1.0778692450739979e-7,8.634089593805966e-8,8.12431537239726e-8,8.226175304568527e-8,92,92,92,92,92,92,92,92,92,92
17,55,7.861775958906618e-7,1.0793350875745163e-6,1.4554840922774636e-6,1.659754629170462e-6,1.7591558504570528e-6,1.8023291898124823e-6,1.6076902985862004e-6,1.087390298860033e-6,9.83418843762013e-7,1.0713327396076456e-6,8.866665640987382e-8,1.0389105291479707e-7,1.2064344541985957e-7,1.28831464680429e-7,1.326331727154656e-7,1.3425085436646137e-7,1.2679472775262385e-7,1.0427800817334559e-7,9.916747671298351e-8,1.0350520468110025e-7,55,55,55,55,55,55,55,55,55,55
18,78,9.26032688647284e-7,1.268010333821555e-6,1.7739576399750601e-6,2.0562198281845154e-6,2.2157244587373793e-6,2.2520195699197142e-6,2.112474386728575e-6,1.4598511231210364e-6,1.3256446290237767e-6,1.4958544564435275e-6,9.623059225876582e-8,1.1260596493177237e-7,1.3319000112527442e-7,1.4339525195014357e-7,1.4885309733886559e-7,1.5006730389794156e-7,1.4534353741149194e-7,1.2082429900980334e-7,1.1513664182282618e-7,1.223051289375686e-7,78,78,78,78,78,78,78,78,78,78
19,5,1.2944848058964314e-7,1.657088041131449e-7,2.0663960693049926e-7,2.279846429591279e-7,2.3272282598334655e-7,2.3513996598927144e-7,1.7924576519935207e-7,1.0981783985632333e-7,9.432828545212477e-8,9.445833444291708e-8,3.5978949482946715e-8,4.07073462796514e-8,4.545762938501075e-8,4.774773742902672e-8,4.8241354249579954e-8,4.849123281473378e-8,4.233742613803443e-8,3.3138774850063986e-8,3.071291022552646e-8,3.07340746473547e-8,5,5,5,5,5,5,5,5,5,5
20,64,1.2384208190158957e-6,1.6766681718356073e-6,2.2476776742516253e-6,2.524707891899732e-6,2.678567354637714e-6,2.7100314354561456e-6,2.3685623502461898e-6,1.5775416445565182e-6,1.4051552688925295e-6,1.5289208030610754e-6,1.1128435734710857e-7,1.2948622211786115e-7,1.4992256915660248e-7,1.5889329412847264e-7,1.6366329321621612e-7,1.6462173111275878e-7,1.5390134340694334e-7,1.2560022470348204e-7,1.1853924535328077e-7,1.236495371225091e-7,64,64,64,64,64,64,64,64,64,64
21,53,8.989073789250469e-7,1.2088536381932137e-6,1.6612240004794104e-6,1.9093823027681545e-6,2.0412281012585045e-6,2.067723562730027e-6,1.897709286204333e-6,1.2918093335623093e-6,1.1737269639879786e-6,1.3222197663643897e-6,9.481072612975006e-8,1.0994788029758527e-7,1.2888847894514895e-7,1.3818040030221922e-7,1.4287155424571066e-7,1.4379581227316834e-7,1.3775736953805168e-7,1.1365779047484203e-7,1.0833868025723676e-7,1.1498781528337644e-7,53,53,53,53,53,53,53,53,53,53
22,35,7.358149027407042e-7,9.765160512453937e-7,1.2666387915035953e-6,1.402000935028278e-6,1.4760543393576849e-6,1.4923910259711843e-6,1.2235620140711741e-6,7.801818728288736e-7,6.908405351473514e-7,7.152432310415243e-7,8.577965392450031e-8,9.88188267105714e-8,1.1254504838079706e-7,1.1840612040888249e-7,1.2149297672531053e-7,1.221634571371973e-7,1.106147374480984e-7,8.832790458450112e-8,8.311681750087353e-8,8.45720539564651e-8,35,35,35,35,35,35,35,35,35,35
23,46,9.192174184315778e-7,1.2912925815602097e-6,1.7722417473856076e-6,2.0295954155889966e-6,2.177364497187487e-6,2.213904244905888e-6,2.006200687884825e-6,1.3489029288320792e-6,1.2209234762188628e-6,1.3256036710779045e-6,9.587582690290488e-8,1.1363505539930052e-7,1.3312557032312038e-7,1.4246386965083452e-7,1.4755895422465855e-7,1.487919434951331e-7,1.4164041400267174e-7,1.1614228036473534e-7,1.1049540606825529e-7,1.1513486314222572e-7,46,46,46,46,46,46,46,46,46,46
24,52,1.2515867626286014e-6,1.7723296379503017e-6,2.4016841387007166e-6,2.783428449545686e-6,2.9632239483906206e-6,3.0358587121039358e-6,2.663694109857408e-6,1.7696845912481098e-6,1.5968026494647895e-6,1.7080610036433233e-6,1.1187433855127822e-7,1.3312887132212537e-7,1.5497367965886068e-7,1.6683610069603298e-7,1.721401739394561e-7,1.7423715769329847e-7,1.6320827521475153e-7,1.3302949264159845e-7,1.2636465682558512e-7,1.3069280789864926e-7,52,52,52,52,52,52,52,52,52,52
25,20,5.935856890510925e-7,8.453519701821158e-7,1.161856436713469e-6,1.3489762735126872e-6,1.4463535117837546e-6,1.481819748855715e-6,1.3067132758897047e-6,8.748370814183706e-7,7.816662406813165e-7,8.267462587207447e-7,7.704451239712615e-8,9.194302421511464e-8,1.0778944459980621e-7,1.1614543785757093e-7,1.2026443829261227e-7,1.2173001884727182e-7,1.1431156004051842e-7,9.353272589946102e-8,8.841189064154868e-8,9.092558818730538e-8,20,20,20,20,20,20,20,20,20,20
26,6,1.2651360154217623e-7,1.9154206752815438e-7,2.8813327789012384e-7,3.4793143271955097e-7,3.768522357876151e-7,3.9238446234893666e-7,3.555922555781242e-7,2.3583653210944073e-7,2.1630093096845918e-7,2.3048861264608943e-7,3.556875054625566e-8,4.376551925067888e-8,5.36780474579808e-8,5.8985712907410975e-8,6.13882917002595e-8,6.264059884363629e-8,5.963155671103382e-8,4.856300362513018e-8,4.650816390360506e-8,4.800922959661917e-8,6,6,6,6,6,6,6,6,6,6
27,10,2.7291542529639473e-7,4.077389383176105e-7,6.099619579027896e-7,7.309007930348922e-7,7.996584128858733e-7,8.286180924799552e-7,7.60713968222869e-7,5.083366012238628e-7,4.529912566794596e-7,4.904142522448252e-7,5.224130791781487e-8,6.385443902483292e-8,7.810006132537859e-8,8.549273612622843e-8,8.942362176102426e-8,9.102846216870606e-8,8.721891814410846e-8,7.129772795986299e-8,6.730462515157927e-8,7.002958319487737e-8,10,10,10,10,10,10,10,10,10,10
28,10,3.7038592337196716e-7,5.554393195856782e-7,8.047185801994272e-7,9.57182655274815e-7,1.0198094844249645e-6,1.053311843811761e-6,9.254742526493426e-7,6.247788619604081e-7,5.472886848168858e-7,5.908795547143866e-7,6.085933974107566e-8,7.45278014961986e-8,8.970610794140091e-8,9.783571205213437e-8,1.0098561701672988e-7,1.0263098186277676e-7,9.620157237017193e-8,7.904295426920783e-8,7.397896219986367e-8,7.686869029158664e-8,10,10,10,10,10,10,10,10,10,10
29,13,4.464770412317622e-7,6.436075162621781e-7,9.038054608726374e-7,1.0696117686666662e-6,1.1326966285025138e-6,1.1626724051851475e-6,1.01194433683824e-6,6.750707626005362e-7,6.031411552151722e-7,6.361411046649669e-7,6.681893752760232e-8,8.022515292987469e-8,9.506868363833789e-8,1.0342203675555159e-7,1.0642822128094192e-7,1.078272880668501e-7,1.0059544407368754e-7,8.216268998764198e-8,7.76621629376347e-8,7.975845438979913e-8,13,13,13,13,13,13,13,13,13,13
30,6,1.7361083507770057e-7,2.667403841068436e-7,4.320199012751765e-7,5.246736955609785e-7,5.812781047766222e-7,6.041210651344364e-7,5.796412467780472e-7,3.8559325695014646e-7,3.49586343753572e-7,3.803311920070114e-7,4.166663354264424e-8,5.164691511666923e-8,6.57282208244812e-8,7.243436308555343e-8,7.624159657146631e-8,7.772522532192727e-8,7.613417411242124e-8,6.209615583513576e-8,5.912582716153508e-8,6.167099739804857e-8,6,6,6,6,6,6,6,6,6,6
31,6,2.4341205837409314e-7,3.800481224413872e-7,6.061711502622743e-7,7.366339302526282e-7,7.891456318449932e-7,8.342428207809165e-7,7.568616676598394e-7,4.990762519969101e-7,4.376663780366013e-7,4.7352341176382303e-7,4.9336807595758885e-8,6.164804315153784e-8,7.78569939223365e-8,8.582738084391415e-8,8.883386920792054e-8,9.133689401227285e-8,8.699779696405187e-8,7.06453290739671e-8,6.6156358578492e-8,6.881303741035002e-8,6,6,6,6,6,6,6,6,6,6
32,8,3.6861709116311267e-7,5.496707868366121e-7,7.852223491381536e-7,9.408165263900835e-7,9.996884250306935e-7,1.0237907218665113e-6,9.021698093073133e-7,5.906900882554495e-7,5.323225211863644e-7,5.596080541433886e-7,6.071384448073707e-8,7.413978600162076e-8,8.86127727327248e-8,9.699569714116618e-8,9.998442003785858e-8,1.0118254404127776e-7,9.498261995266889e-8,7.685636527025264e-8,7.296043593526318e-8,7.480695516751024e-8,8,8,8,8,8,8,8,8,8,8
33,2,1.214771985892828e-7,1.879124927356e-7,3.0085599896782127e-7,3.3557950971158545e-7,3.719361686439552e-7,3.7075294492312784e-7,3.116055106958177e-7,1.949104976578161e-7,1.7003725051220705e-7,1.7959642409593362e-7,3.485357924077279e-8,4.334887458003956e-8,5.4850341746229916e-8,5.792922489655679e-8,6.098656972186214e-8,6.088948553922326e-8,5.5821636548547885e-8,4.4148669023858024e-8,4.123557329687645e-8,4.2378818305367315e-8,2,2,2,2,2,2,2,2,2,2
34,2,1.084372901964911e-7,1.7353733062028898e-7,2.7798863407464863e-7,3.4840211862793965e-7,3.7571088784460435e-7,3.9629024499127143e-7,3.329939269450328e-7,2.0482363698372766e-7,1.8245638844880155e-7,1.8937324521730598e-7,3.292981782465416e-8,4.1657812066920766e-8,5.2724627459532474e-8,5.902559772064486e-8,6.12952598366794e-8,6.29515881444838e-8,5.7705625977458455e-8,4.525744546300947e-8,4.271491407562487e-8,4.3517036344092414e-8,2,2,2,2,2,2,2,2,2,2
35,1,7.453406333350776e-8,1.2093828200418128e-7,1.864210700866429e-7,2.260662841673496e-7,2.4355976103322055e-7,2.4261657713796516e-7,1.8472824096257286e-7,1.1329277992015886e-7,9.60488128652525e-8,1.0120791435114468e-7,2.73009273347093e-8,3.4776181792166495e-8,4.3176506353182734e-8,4.754642827461908e-8,4.9351774135609404e-8,4.925612420176451e-8,4.2980023378608444e-8,3.3658992842947464e-8,3.09917429108549e-8,3.181319134433775e-8,1,1,1,1,1,1,1,1,1,1
36,1,7.201954364003277e-8,1.1040193556807681e-7,1.6287080763601403e-7,1.9057323454921462e-7,2.1330738065987553e-7,2.0484588621867317e-7,1.6279834746930923e-7,1.0372049331707132e-7,8.865912437384637e-8,9.267945289580482e-8,2.6836457225206307e-8,3.322678671916332e-8,4.03572555603096e-8,4.365469442674117e-8,4.618521199040615e-8,4.52599034708066e-8,4.034827722088134e-8,3.2205666165609946e-8,2.977568208687189e-8,3.044330023105327e-8,1,1,1,1,1,1,1,1,1,1
37,1,6.265646935095284e-8,1.0281171799513707e-7,1.5757607461260613e-7,2.0355003357270167e-7,2.111483574016656e-7,2.2149265289222503e-7,1.7735563277857432e-7,1.0971484184292782e-7,9.429176330428295e-8,9.982172012125963e-8,2.503127430854307e-8,3.2064266402825603e-8,3.969585300917542e-8,4.5116519543588657e-8,4.595088218975405e-8,4.7063005948645595e-8,4.2113612143649507e-8,3.312323079696904e-8,3.070696391769837e-8,3.1594575502965636e-8,1,1,1,1,1,1,1,1,1,1
38,3,1.8047129631265677e-7,2.7191022873629613e-7,3.926014614255833e-7,4.810234642273847e-7,5.065015030148676e-7,5.218784332542717e-7,4.3786948205564505e-7,2.898725032846322e-7,2.4768301487393713e-7,2.6155165672799404e-7,4.248191336470813e-8,5.214501210435147e-8,6.265791741077765e-8,6.935585514052759e-8,7.1168918989603e-8,7.224115400893536e-8,6.617170710021354e-8,5.383980899711961e-8,4.9767762143172275e-8,5.114212126300532e-8,3,3,3,3,3,3,3,3,3,3
39,6,1.227180492615367e-7,1.0573133704879295e-7,1.1133386967378257e-7,1.1001854775488288e-7,1.0814017294233804e-7,1.0593216894448299e-7,8.448491453355869e-8,5.384142636894557e-8,4.746301054595486e-8,5.341644107963899e-8,3.5031136045172255e-8,3.251635543058184e-8,3.336673038728587e-8,3.316904396495064e-8,3.288467316886973e-8,3.2547222453610844e-8,2.9066288812567507e-8,2.320375537902121e-8,2.178600710225599e-8,2.311199711830178e-8,6,6,6,6,6,6,6,6,6,6
40,4,1.1299002884021579e-7,1.610027837487683e-7,2.0262459751767345e-7,2.2527067657466137e-7,2.314334201428696e-7,2.3826038356818452e-7,1.7086561201124067e-7,1.0186142682201646e-7,8.402039289052939e-8,8.123526095861103e-8,3.361398947465412e-8,4.012515218024329e-8,4.501384203971857e-8,4.746268814286243e-8,4.810752749236543e-8,4.881192308936256e-8,4.133589384678172e-8,3.1915736999482944e-8,2.898627138673227e-8,2.8501800111328235e-8,4,4,4,4,4,4,4,4,4,4
